Product Id,Description,Sum of Quantity,Sum of Total Cost Price,Sum of Total Selling Price,Profit Rupees,Profit %,Weekday/Weekend/Holiday
10002,INFLATABLE POLITICAL GLOBE,59,2584.8066,2879.8066,295,11.41284613,Holiday
10002,INFLATABLE POLITICAL GLOBE,279,12250.9455,13645.9455,1395,11.38687622,Weekday
10002,INFLATABLE POLITICAL GLOBE,175,7755.1089,8630.1089,874.999999999999,11.28288476,Weekend
10080,GROOVY CACTUS INFLATABLE,120,1963.236,2563.236,600,30.56178676,Weekend
10080,GROOVY CACTUS INFLATABLE,133,2226.3083,2891.3083,665,29.87007684,Weekday
10120,DOGGY RUBBER,85,552.6445,977.6445,425,76.90296384,Weekday
10120,DOGGY RUBBER,69,448.6173,793.6173,345,76.90296384,Weekend
10123C,HEARTS WRAPPING TAPE,5,153.0025,178.0025,25,16.33960229,Weekday
10124A,SPOTS ON RED BOOKCOVER TAPE,12,216.0408,276.0408,60,27.77253186,Weekday
10124A,SPOTS ON RED BOOKCOVER TAPE,4,72.0136,92.0136,20,27.77253186,Weekend
10124G,ARMY CAMO BOOKCOVER TAPE,13,234.0442,299.0442,65,27.77253186,Weekday
10124G,ARMY CAMO BOOKCOVER TAPE,4,72.0136,92.0136,20,27.77253186,Weekend
10125,MINI FUNKY DESIGN TAPES,747,27164.5909,30899.5909,3735,13.74951684,Weekday
10125,MINI FUNKY DESIGN TAPES,288,11483.5292,12923.5292,1440,12.53969903,Weekend
10125,MINI FUNKY DESIGN TAPES,22,914.199,1024.199,110,12.0323912,Holiday
10133,COLOURING PENCILS BROWN TUBE,1060,27298.0086,32598.0086,5300,19.41533567,Weekday
10133,COLOURING PENCILS BROWN TUBE,379,11142.4508,13037.4508,1895,17.00703045,Weekend
10133,COLOURING PENCILS BROWN TUBE,15,623.3175,698.3175,75,12.0323912,Holiday
10135,COLOURING PENCILS BROWN TUBE,323,17840.3994,19455.3994,1615,9.052487917,Weekend
10135,COLOURING PENCILS BROWN TUBE,548,30905.7587,33645.7587,2740,8.865661661,Weekday
10135,COLOURING PENCILS BROWN TUBE,34,2433.7658,2603.7658,170,6.985059943,Holiday
11001,ASSTD DESIGN RACING CAR PEN,1070,78503.4177,83853.4177,5350,6.814989916,Weekday
11001,ASSTD DESIGN RACING CAR PEN,520,39840.7253,42440.7253,2600,6.52598561,Weekend
11001,ASSTD DESIGN RACING CAR PEN,2,262.7546,272.7546,10,3.805832514,Holiday
15030,FAN BLACK FRAME,110,1197.163,1747.163,550,45.94194775,Weekday
15030,FAN BLACK FRAME,28,304.7324,444.7324,140,45.94194775,Weekend
15030,FAN BLACK FRAME,2,21.7666,31.7666,10,45.94194775,Holiday
15034,PAPER POCKET TRAVELING FAN,2410,5465.305,14663.0244,9197.7194,168.2928839,Weekend
15034,PAPER POCKET TRAVELING FAN,4827,12770.9814,30748.9734,17977.992,140.7722041,Weekday
15034,PAPER POCKET TRAVELING FAN,4,166.218,186.218,20,12.0323912,Holiday
15036,ASSORTED COLOURS SILK FAN,4098,154108.5445,174598.5445,20490,13.29582345,Weekend
15036,ASSORTED COLOURS SILK FAN,5419,212761.4518,239856.4518,27095,12.73491968,Weekday
15036,ASSORTED COLOURS SILK FAN,75,3108.372,3483.372,375,12.06419309,Holiday
15039,SANDALWOOD FAN,254,12369.9208,13639.9208,1270,10.26684019,Weekend
15039,SANDALWOOD FAN,862,44120.9202,48430.9202,4310,9.768608589,Weekday
15039,SANDALWOOD FAN,4,294.3798,314.3798,20,6.793944421,Holiday
15044A,PINK PAPER PARASOL,2,313.143,323.143,10,3.1934292,Holiday
15044A,PINK PAPER PARASOL,93,15338.8835,15803.8835,465,3.031511387,Weekend
15044A,PINK PAPER PARASOL,221,39424.2523,40529.2523,1105,2.802843264,Weekday
15044B,BLUE PAPER PARASOL,2,313.143,323.143,10,3.1934292,Holiday
15044B,BLUE PAPER PARASOL,202,31782.9898,32792.9898,1010,3.177800472,Weekday
15044B,BLUE PAPER PARASOL,40,7040.594,7240.594,200,2.840669409,Weekend
15044C,PURPLE PAPER PARASOL,2,313.143,323.143,10,3.1934292,Holiday
15044C,PURPLE PAPER PARASOL,51,8719.0645,8974.0645,255,2.924625687,Weekend
15044C,PURPLE PAPER PARASOL,208,36313.14,37353.14,1040,2.863977062,Weekday
15044D,RED PAPER PARASOL,202,28954.667,29964.667,1010,3.488211417,Weekend
15044D,RED PAPER PARASOL,384,58079.4396,59999.4396,1920,3.305817021,Weekday
15044D,RED PAPER PARASOL,3,469.7145,484.7145,15,3.1934292,Holiday
15056BL,EDWARDIAN PARASOL BLACK,1661,492636.2079,500941.2079,8305,1.685828176,Weekday
15056BL,EDWARDIAN PARASOL BLACK,362,118277.6066,120087.6066,1810,1.530298128,Weekend
15056BL,EDWARDIAN PARASOL BLACK,20,6774.1827,6874.1827,100,1.47619284,Holiday
15056N,EDWARDIAN PARASOL NATURAL,1457,463728.7845,471013.7845,7285,1.570961356,Weekday
15056N,EDWARDIAN PARASOL NATURAL,314,105440.7214,107010.7214,1570,1.488988295,Weekend
15056N,EDWARDIAN PARASOL NATURAL,16,5504.8969,5584.8969,80,1.453251559,Holiday
15056P,EDWARDIAN PARASOL PINK,560,171057.5064,173857.5064,2800,1.636876428,Weekday
